DAPI_Intensity,pyrP_Intenisty,ssaA_Intenisty,pbuX_Intenisty
106087.00,13963.00,7166.00,15860.00
61034.00,12825.00,8636.00,8111.00
65169.00,12834.00,5164.00,11440.00
61755.00,12952.00,5435.00,7293.00
65110.00,13636.00,5461.00,7642.00
74012.00,13749.00,5380.00,12047.00
84390.00,13806.00,5291.00,11725.00
64244.00,12717.00,5959.00,9440.00
67462.00,13404.00,5482.00,10027.00
69326.00,12738.00,5798.00,10238.00
77783.00,13666.00,5877.00,12050.00
62298.00,12567.00,5216.00,9103.00
72119.00,13687.00,6661.00,12277.00
55473.00,12765.00,5201.00,10123.00
75020.00,13557.00,5290.00,12508.00
68276.00,13174.00,5556.00,7855.00
58974.00,12314.00,5480.00,7899.00
91994.00,14202.00,5977.00,10907.00
62468.00,15046.00,7157.00,8257.00
73582.00,13038.00,5302.00,7751.00
63065.00,12662.00,5334.00,7506.00
71676.00,13229.00,6288.00,12791.00
59897.00,13827.00,5459.00,7759.00
78315.00,12939.00,5798.00,11127.00
72852.00,14264.00,6076.00,11504.00
83746.00,13294.00,5911.00,11108.00
54003.00,12464.00,6569.00,9106.00
74279.00,13131.00,5457.00,10678.00
142172.00,14735.00,7470.00,12483.00
51868.00,14386.00,5143.00,5969.00
61706.00,13489.00,5212.00,13613.00
52810.00,12359.00,7021.00,7678.00
103905.00,14143.00,11293.00,14748.00
66377.00,12895.00,5351.00,7223.00
61679.00,12882.00,6429.00,9615.00
59496.00,13477.00,5236.00,9098.00
64006.00,13310.00,5687.00,8580.00
55346.00,12717.00,5239.00,8978.00
121926.00,14447.00,6276.00,12353.00
59983.00,12761.00,5895.00,7918.00
65706.00,13568.00,5268.00,9937.00
69988.00,13121.00,6128.00,12534.00
57921.00,13181.00,5031.00,9495.00
53179.00,12611.00,4989.00,10513.00
56391.00,13223.00,5242.00,9367.00
66493.00,12415.00,5907.00,6669.00
54789.00,12900.00,5761.00,6893.00
77392.00,13250.00,5609.00,10813.00
64581.00,12562.00,5294.00,7806.00
62139.00,13112.00,5401.00,8487.00
58821.00,14080.00,5161.00,6015.00
61387.00,12702.00,5672.00,8856.00
82498.00,14733.00,5684.00,10822.00
68153.00,14165.00,6565.00,11670.00
88760.00,13699.00,6014.00,12984.00
89587.00,14459.00,8613.00,9151.00
69125.50,12867.00,5582.00,9769.00
69298.00,13266.00,5519.00,6560.00
98408.00,13486.00,7141.00,13903.00
70031.00,13371.00,5680.00,10186.00
87215.00,13050.00,6312.00,16735.00
58505.00,14633.00,5092.00,5934.00
49973.00,12759.00,5130.00,8763.00
57147.00,12902.00,5991.00,10142.00
68270.00,12866.00,5611.00,10506.00
63725.00,13184.00,5208.00,14286.00
89751.00,13933.00,6283.00,9239.00
106901.00,14447.00,5474.00,9040.00
54590.00,12798.00,5842.00,7141.00
58608.00,12561.00,5149.00,6751.00
69289.00,14054.00,5277.00,9782.00
69815.00,13063.00,5661.00,9694.00
61961.00,14261.00,5324.00,6066.00
104912.00,14140.00,6929.00,14376.00
67347.00,13143.00,5484.00,9872.00
51878.00,14092.00,5067.00,5833.00
68923.00,12999.00,5300.00,9462.00
85768.00,14962.00,8542.00,15586.00
90578.00,14786.00,5758.00,10739.00
80540.00,14507.00,5314.00,7864.00
53000.00,12594.00,5306.00,10400.50
66914.00,12985.00,5761.00,11832.00
77153.00,13077.00,6812.00,10101.00
51700.00,12373.00,5263.00,7352.00
57963.00,12474.00,5276.00,10963.00
59259.00,12897.00,5170.00,8690.00
56871.00,12738.00,6098.00,8220.00
62308.00,12877.00,7364.00,8698.00
55101.00,12383.00,4993.00,7806.00
52317.00,12880.00,5534.00,8628.00
78114.00,13717.00,7654.00,14553.00
52561.00,12463.00,9534.00,7817.00
74157.00,13144.00,5328.00,10698.00
61198.00,12492.00,5230.00,9678.00
63762.00,12565.00,5227.00,11595.00
65703.00,13200.00,5182.00,7434.00
57776.00,12561.00,6220.00,8254.00
75974.00,13439.00,5965.00,10741.00
63573.00,12294.00,5301.00,9085.00
63671.00,12954.00,5202.00,9241.00
61620.00,13502.00,5859.00,10413.00
54610.00,13014.00,5722.00,10576.00
71960.00,14159.00,5195.00,11016.00
71910.00,14318.00,5947.00,12669.00
73814.00,13377.00,5334.00,9076.00
72010.00,12916.00,7420.00,10331.00
68976.00,12742.00,5738.00,9345.00
82024.00,13356.00,5596.00,12488.00
70081.00,13571.00,5430.00,10328.00
51233.00,12433.00,5660.00,9297.00
54222.00,12633.00,7387.00,9729.00
63956.00,13433.00,6172.00,10170.00
125334.00,15500.00,16218.00,15908.00
68905.00,13878.00,5809.00,10848.00
70273.00,12752.00,8547.00,8101.00
62401.00,12727.00,5266.00,9119.00
75912.00,13814.00,5988.00,9440.00
62940.00,12520.00,5187.00,11736.00
63160.00,16819.00,6129.00,8479.00
75888.00,13199.00,5053.00,9882.00
